,ret
2000-01-31,-0.006744400759076211
2000-02-29,0.024748650818945016
2000-03-31,-0.005631753483524425
2000-04-30,-0.009887874329318034
2000-05-31,-0.0032483736735936545
2000-06-30,0.010951085637021171
2000-07-31,-0.003464604535782757
2000-08-31,0.02055824844400861
2000-09-30,-0.00528559419313743
2000-10-31,0.002375191395597367
2000-11-30,0.00614905631298638
2000-12-31,0.004721199069729695
2001-01-31,-0.0010776866659926926
2001-02-28,0.007188747313868092
2001-03-31,0.0018118152428225264
2001-04-30,0.0015560976318262335
2001-05-31,0.0027051949176630312
2001-06-30,-0.001764741154651731
2001-07-31,-0.00258060064202
2001-08-31,0.0028470667396031423
2001-09-30,-0.012315899727913686
2001-10-31,0.0061475783878870306
2001-11-30,0.0011888382591772892
2001-12-31,-0.0013236065763912069
2002-01-31,-0.0021465407978849015
2002-02-28,0.009616867177983629
2002-03-31,0.018733563724280585
2002-04-30,0.006318438652798492
2002-05-31,0.004251635318467499
2002-06-30,-0.0013152987712700048
2002-07-31,-0.008688696555362908
2002-08-31,0.015438449735330841
2002-09-30,-0.002839635009195227
2002-10-31,-0.0015912836746526256
2002-11-30,0.010260695503650196
2002-12-31,0.01020256419009051
2003-01-31,0.02009167271518423
2003-02-28,0.0023013546550146036
2003-03-31,-0.01419550336044614
2003-04-30,0.003792144239601407
2003-05-31,0.02182903186881983
2003-06-30,-0.002162362542944655
2003-07-31,0.0008583459055229365
2003-08-31,0.0018225153762365916
2003-09-30,0.00597385413081715
2003-10-31,0.019527993796711638
2003-11-30,0.014592973822970676
2003-12-31,0.009959476839538909
2004-01-31,0.01078128927474646
2004-02-29,0.011015552921844692
2004-03-31,0.004431261152934178
2004-04-30,-0.01980284660179364
2004-05-31,0.0022355426266036827
2004-06-30,0.0005125854647030591
2004-07-31,0.0006205658619608395
2004-08-31,-0.0005169961873973665
2004-09-30,0.026481432433593338
2004-10-31,0.003965648351046474
2004-11-30,0.018409910938887403
2004-12-31,0.0020836054728838255
2005-01-31,0.00737589430729843
2005-02-28,0.012903210009830985
2005-03-31,0.005136481427414323
2005-04-30,-0.012686918800236925
2005-05-31,0.011746671404640516
2005-06-30,0.02210827136666048
2005-07-31,0.010175221736985787
2005-08-31,0.014971421596419256
2005-09-30,0.012709219730215571
2005-10-31,-0.016274990545742475
2005-11-30,0.012408616440645857
2005-12-31,0.018470484383083612
2006-01-31,0.021744139668658524
2006-02-28,-0.009608509221764542
2006-03-31,0.011057003145102945
2006-04-30,0.012191404492264676
2006-05-31,-0.005838589562213925
2006-06-30,-0.00013436146684328945
2006-07-31,0.005898163667760417
2006-08-31,0.0010318707697796123
2006-09-30,-0.0063162093254256445
2006-10-31,0.011374079432908565
2006-11-30,0.010080420329112067
2006-12-31,0.006915352600950114
2007-01-31,0.0023018453584017057
2007-02-28,0.005837508369955142
2007-03-31,0.005541440717136686
2007-04-30,0.00791641752213902
2007-05-31,0.0027864029957354163
2007-06-30,-0.00015369544616895348
2007-07-31,-0.004837715110075225
2007-08-31,-0.0037430098323434752
2007-09-30,0.011491127053928246
2007-10-31,0.020225333884940036
2007-11-30,-0.01516117142024563
2007-12-31,0.00926670619273969
2008-01-31,-0.006691033580228458
2008-02-29,0.013428461669626236
2008-03-31,-0.005102564749329004
2008-04-30,0.000594253974754419
2008-05-31,0.00499624127107584
2008-06-30,0.007199588325672435
2008-07-31,-0.004839870088789911
2008-08-31,0.0011553147581702993
2008-09-30,-0.01177315515510465
2008-10-31,-0.0524141168714083
2008-11-30,0.007138583046847591
2008-12-31,0.006251468590556274
2009-01-31,-0.01973354096392475
2009-02-28,-0.007875325690704248
2009-03-31,-0.00013423169721393758
2009-04-30,0.005702479263631214
2009-05-31,0.014387478175258636
2009-06-30,0.007926303696691835
2009-07-31,0.015757549511052033
2009-08-31,0.014221806245793745
2009-09-30,0.013895882822426328
2009-10-31,-0.009557740838225772
2009-11-30,0.011382358022427166
2009-12-31,0.011595237452861552
2010-01-31,-0.009708830072094127
2010-02-28,0.012399340559574323
2010-03-31,0.017322980510068985
2010-04-30,0.01766845788603514
2010-05-31,-0.009064991904338725
2010-06-30,-0.004006399719836562
2010-07-31,-0.0009329483667250781
2010-08-31,0.00710748440206309
2010-09-30,0.010354372427306597
2010-10-31,0.0041120818950161
2010-11-30,-0.0006154350545673269
2010-12-31,0.020432232255807883
2011-01-31,-0.00843757199603687
2011-02-28,0.016018282531992816
2011-03-31,-0.0018662707086619986
2011-04-30,0.012453430623398449
2011-05-31,-0.008005986480988495
2011-06-30,-0.006771014626346295
2011-07-31,0.00806607398003854
2011-08-31,-0.007822835014758568
2011-09-30,-0.011279902369623252
2011-10-31,0.010143911156962747
2011-11-30,0.001185826913206786
2011-12-31,0.0035184495535652404
2012-01-31,0.003147979529708867
2012-02-29,0.007530038903964779
2012-03-31,-0.0029819232630414567
2012-04-30,0.00392638466320097
2012-05-31,0.0024512569403323256
2012-06-30,-0.0025911508721697045
2012-07-31,0.0044985668577472975
2012-08-31,0.0008237901669018591
2012-09-30,0.003918808958270359
2012-10-31,0.000728702135954374
2012-11-30,0.003761328494479392
2012-12-31,0.0053173325385686195
2013-01-31,0.009649694511394542
2013-02-28,0.004177120790060031
2013-03-31,0.01440485747747063
2013-04-30,-0.006265565317260519
2013-05-31,-0.010279904510629666
2013-06-30,-0.004786139854521496
2013-07-31,0.013495609984998175
2013-08-31,-0.001002986712040858
2013-09-30,0.004530878168772853
2013-10-31,0.003233828945127028
2013-11-30,0.0046356651401809595
2013-12-31,-7.581570470260651e-05
2014-01-31,0.0012392106851764621
2014-02-28,0.008765405999377
2014-03-31,-0.00016230140950191274
2014-04-30,-0.003308566324126303
2014-05-31,0.001499747108720001
2014-06-30,0.009412982769221161
2014-07-31,-0.008293002380794333
2014-08-31,0.007304090200644275
2014-09-30,-0.010682098662490262
2014-10-31,-0.007490879786643442
2014-11-30,-0.0022487980261734763
2014-12-31,-0.00602628003378208
2015-01-31,0.009586010737632239
2015-02-28,0.0037458808962521403
2015-03-31,0.005192641456017324
2015-04-30,0.0025606878776525135
2015-05-31,0.0025387824883303786
2015-06-30,-0.010816625972450585
2015-07-31,-0.004011369913499981
2015-08-31,-0.009131558449713263
2015-09-30,-0.006093068706793571
2015-10-31,0.01016010450190804
2015-11-30,-0.0012138697181358793
2015-12-31,-0.006923714439354429
2016-01-31,-0.0004717550049148436
2016-02-29,0.002416023810913553
2016-03-31,0.01004017224642341
2016-04-30,0.01080293084799595
2016-05-31,-0.0008695512665277795
2016-06-30,0.008111107051593305
2016-07-31,0.0034670325180097632
2016-08-31,0.00045601279878016397
2016-09-30,0.004067434296376146
2016-10-31,-0.004090386961630984
2016-11-30,0.004901317831353718
2016-12-31,0.008371285451291191
2017-01-31,-0.005141933460619558
2017-02-28,0.003731548396367467
2017-03-31,-0.004949069200646413
2017-04-30,-0.00017017388535296143
2017-05-31,-0.0006886799480664014
2017-06-30,-0.006367615966009711
2017-07-31,0.004384639283774122
2017-08-31,0.0074939229715307604
2017-09-30,0.0009740787046899463
2017-10-31,0.008723495864504669
2017-11-30,0.0029122540730245764
2017-12-31,0.004016323940169012
2018-01-31,-0.020100308153196026
2018-02-28,-0.009722541304556891
2018-03-31,0.002326008176104231
2018-04-30,0.0032053345958772887
2018-05-31,0.004687030396846304
2018-06-30,-0.0009932300976740163
